segNum,segLength,cumLength,EInit,NInit,UpInit,psiInit,kStart,kEnd,grade,bank,maxE,maxV,frictionBase,updatedFriction,mapType,totalLength,totalSegs,creationTime,x,y,z,bufferLeft,bufferRight,
107,30.503,3007.4,-374.94,34.484,0,11.10428531,2.00E-05,-0.00046501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108,54.645,3062.1,-371.69,4.1545,0,11.09748531,-0.00046501,0.030482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,32.034,3094.1,-352.54,-45.29,0,11.91768531,0.030482,0.0031851,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,5.1702,3099.3,-322.38,-54.814,0,12.45688531,0.0031851,0.0023788,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,42.347,3141.6,-317.24,-55.34,0,12.47128531,0.0023788,-0.0011659,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
112,36.801,3178.4,-275,-58.289,0,12.49698531,-0.0011659,-0.0020208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
113,31.432,3209.9,-238.37,-61.819,0,12.43838531,-0.0020208,0.051877,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
114,31.972,3241.8,-208.02,-58.126,0,13.22188061,0.051877,0.0064501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
115,61.446,3303.3,-198.16,-28.968,0,14.15427061,0.0064501,-0.022716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
116,33.564,3336.9,-193.14,31.498,0,13.65457061,-0.022716,0.009416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
117,32.935,3369.8,-171.99,57.434,0,13.43133061,0.009416,0.0062181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
118,36.576,3406.4,-154.31,85.114,0,13.68877061,0.0062181,0.0103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
119,33.785,3440.1,-143.2,119.82,0,13.99087061,0.0103,-0.00074883,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,34,3474.1,-142.04,153.54,0,14.15217061,-0.00074883,-0.00011687,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
121,373.38,3847.5,-142.24,187.54,0,14.13747061,-0.00011687,0.0004543,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
122,37.306,3884.8,-147.48,560.81,0,14.20047061,0.0004543,-0.023693,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
123,47.598,3932.4,-144.6,597.69,0,13.76707061,-0.023693,-0.030703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124,37.071,3969.5,-107.56,622.06,0,12.47248531,-0.030703,0.0003479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
125,8.0254,3977.5,-74.998,605.45,0,11.90978531,0.0003479,0.00022995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
126,37.82,4015.3,-68.635,600.56,0,11.91208531,0.00022995,0.0007664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
127,40.082,4055.4,-38.448,577.78,0,11.93098531,0.0007664,-0.027088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
128,38.136,4093.6,-11.031,549.23,0,11.40348531,-0.027088,0.0036242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
129,38.283,4131.8,-7.7772,511.58,0,10.95598531,0.0036242,-0.0011736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130,45.447,4177.3,-7.8071,473.3,0,11.00298531,-0.0011736,0.00089724,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
131,39.022,4216.3,-7.9714,427.86,0,10.99668531,0.00089724,-0.00022947,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
132,128.6,4344.9,-7.5317,388.84,0,11.00968531,-0.00022947,0.00018898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
133,42.637,4387.5,-6.4604,260.25,0,11.00708531,0.00018898,-0.00039561,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
134,118.85,4506.4,-5.9749,217.61,0,11.00268531,-0.00039561,0.00056277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
135,40.985,4547.4,-5.6679,98.765,0,11.01258531,0.00056277,-0.0039998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
136,41.161,4588.5,-5.7741,57.789,0,10.94218531,-0.0039998,0.0059535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
137,15.823,4604.4,-8.5469,16.73,0,10.98238531,0.0059535,0.010131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
